p1,p2,count
578,14,33
578,31,18
578,94,6
578,550,3
578,389,15
578,65,1
578,543,4
578,573,2
578,559,4
578,493,2
578,166,5
578,225,1
578,150,1
578,243,6
578,479,4
578,552,3
578,549,5
578,245,1
578,221,5
578,579,1
578,32,3
578,142,2
578,41,1
579,14,13
579,588,3
579,264,2
579,270,5
579,225,1
579,609,1
579,293,9
579,159,1
579,299,1
579,243,2
580,14,18
580,550,6
580,94,1
580,403,2
580,590,1
580,59,3
580,243,1
580,551,4
586,389,13
586,334,1
586,136,2
586,593,2
586,630,6
586,260,4
586,31,2
586,130,1
586,65,1
588,14,18
588,550,3
588,577,3
588,94,1
588,245,1
588,83,1
590,14,3
590,550,4
590,202,2
590,166,1
590,94,6
590,225,5
590,580,1
590,88,1
590,150,1
591,243,2
591,208,15
591,260,5
591,608,7
591,270,1
591,630,3
591,423,2
591,359,2
591,78,2
591,237,2
593,368,20
593,389,97
593,14,27
593,278,3
593,618,8
593,426,2
593,403,3
593,118,5
593,245,3
593,189,2
593,248,1
593,243,2
593,31,4
593,406,1
593,136,1
593,128,5
593,568,1
593,588,1
593,5,1
593,65,1
593,630,2
595,293,21
595,524,3
595,14,5
595,448,5
595,579,1
595,479,2
595,573,1
595,243,2
595,188,1
601,129,7
601,243,52
601,65,2
601,550,8
601,14,23
601,245,2
601,472,1
601,248,2
601,258,1
601,260,11
601,389,12
601,270,5
601,579,2
601,365,4
601,572,3
601,630,11
601,142,4
601,188,5
601,479,1
601,591,1
601,31,4
601,47,2
601,102,1
601,207,1
601,108,1
601,471,1
601,293,2
601,318,1
601,208,2
603,31,35
603,33,11
603,554,6
603,550,6
603,14,13
603,552,1
603,549,5
603,293,1
603,159,1
603,389,1
603,48,6
603,65,3
608,609,5
608,359,37
608,78,24
608,634,10
608,208,18
608,17,1
608,30,2
608,355,13
608,143,1
608,456,1
608,627,6
608,369,2
608,630,1
608,591,1
608,237,1
608,636,2
608,260,1
608,446,2
608,199,2
608,243,1
608,22,1
608,65,1
608,471,6
608,357,2
609,33,1
609,365,2
609,608,7
609,359,2
609,22,1
618,368,30
618,389,61
618,14,54
618,377,2
618,94,1
618,459,4
618,551,7
618,265,4
618,263,1
618,593,3
618,550,2
618,189,3
618,240,2
618,248,2
618,293,2
618,159,1
618,245,2
618,278,9
618,243,20
618,630,7
618,32,9
618,118,3
618,142,2
618,572,3
618,270,1
618,579,2
618,371,2
618,386,1
618,628,2
618,5,2
618,624,1
618,334,2
621,389,15
621,586,2
621,375,5
621,366,3
621,384,2
621,386,1
621,84,1
621,380,1
621,369,1
621,391,2
621,374,1
621,65,1
624,389,12
624,142,6
624,368,5
624,14,2
624,315,5
624,243,4
624,280,6
624,31,3
624,371,1
624,573,2
624,493,1
624,47,2
624,32,1
624,578,1
624,41,1
624,628,1
624,357,1
624,240,1
624,601,2
627,355,8
627,428,7
627,143,9
627,359,22
627,628,1
627,630,1
627,478,2
627,79,2
627,33,2
627,17,1
627,357,3
627,629,1
627,456,16
627,34,2
627,380,1
627,199,4
627,369,4
628,389,88
628,243,27
628,630,8
628,541,4
628,318,1
628,5,4
628,368,1
628,278,1
628,142,7
628,31,6
628,280,14
628,47,1
628,624,4
628,315,1
628,33,2
628,357,1
628,568,5
628,618,1
628,334,1
628,627,1
628,629,7
628,384,2
628,380,1
628,593,1
628,375,1
629,628,8
629,389,26
629,384,9
629,371,3
629,588,1
629,593,5
629,134,1
629,136,1
629,357,3
629,280,3
629,380,7
629,355,3
629,84,1
629,208,2
629,369,3
629,391,3
629,630,1
630,245,5
630,243,24
630,142,5
630,572,6
630,248,2
630,14,9
630,278,2
630,389,5
630,618,1
630,270,5
630,579,1
630,601,1
630,31,2
630,260,4
630,298,2
630,208,3
630,357,4
630,207,1
630,108,1
630,628,3
630,318,1
630,636,2
630,629,1
630,627,1
630,450,1
634,628,1
634,630,1
634,627,1
634,143,1
634,456,1
634,355,1
634,208,4
634,608,3
634,78,1
634,22,1
636,630,4
636,260,10
636,208,13
636,186,2
636,450,6
636,608,3
636,78,10
636,572,1
